"url","title","date","author","subject","abstract"
"http://cadmus.eui.eu/handle/1814/15396","Another world, but with whom? A Franco-British comparison of the participation of Muslim activists in the Global Justice Movement","2010","PEACE, Timothy","Global Justice Movement; Anti-globalization movement; Social movements -- Europe; Muslims -- Europe; France -- Emigration and immigration; Great Britain -- Emigration and immigration","This thesis investigates how progressive social movements deal with religious pluralism and religious political activism by engaging in a cross-country comparison of Muslim activists and their participation within the movement against neo-liberal globalisation (also known as the Global Justice Movement). Taking the example of two nation states which have a similar post-colonial history of migration and settlement, Britain and France, the thesis seeks to explain why we observe such differences in the reactions of social movement leaders to the novel development of Muslim activism within the movement. Using concepts developed in the study of social movements; in particular political opportunity structures (POS) and framing processes, three main findings emerge. Firstly, religion itself is not an explanatory factor behind the involvement of Muslims in this movement, although it may be strategically employed to encourage others. Secondly, reactions to Muslim participation by social movement organisations can be largely attributed to the respective philosophies of integration in each nation state. Social movement leaders in Britain are keen to show how diverse their organisations are by encouraging Muslim participation. In France, such diversity is perceived as weakness because it challenges their collective identity. Counterintuitively, we find more French Muslims willing to participate in social movements despite hostility to their presence by others. This is due to a stronger tradition of mobilisation within the left. Thirdly, different biographical outcomes of activism by Muslim activists within the GJM can be accounted for due to external political opportunity strucutures. British Muslim activists went on to form an electoral alliance with the radical left because of favourable opportunity structures but their French counterparts failed to do the same because opportunities were closed."
"http://cadmus.eui.eu/handle/1814/10446","Are industrial districts beautiful? A multi level study of work and industrial relations in Herning-Ikast and Prato","2008","HOLTEN, Anne-Louise","Industrial districts -- Italy; Industrial districts -- Denmark; Industrial relations -- Italy; Industrial relations -- Denmark","This thesis investigates work and industrial relations in the Herning-Ikast and Prato textile and clothing industrial districts (IDs). It offers a multilevel, empirical investigation of employee working conditions and industrial relations comparing ID and non-ID firms. The study includes employers and employees in 78 firms. Three main work-related elements are examined. First, the antecedents of employees&rsquo; positive perception of unions and union membership are explored. Second, central aspects related to employee functional flexibility (i.e. changing tasks and positions within the firm) are investigated. Finally, elements determining the degree of employees&rsquo; positive evaluation of their job in terms of opportunities for learning and development and general contentment are investigated. All three elements are analysed by comparing ID/non-ID firms and Danish/Italian firms. Questions related to work in family firms are also raised. The findings reveal that employees in family firms to a lesser extent were members of unions and reported being less functionally flexible. Moreover, the number of family member employees in a firm was negatively related to employees&rsquo; positive job evaluation. A trend toward better social relations in ID firms is seen. Findings show a lower degree of functional flexibility exerted by ID employees, suggesting the importance of alternative flexibility types in ID firms. Important national differences are seen, possibly reflecting the different ways in which the textile and clothing sector has developed as well as a more longstanding Danish tradition of focusing on the improvement of employees&rsquo; psychosocial working conditions. Findings also indicate that the degree to which the ID industrial relations vary from the national industrial relations models is dissimilar for Herning-Ikast and Prato. In view of the findings of this thesis the generalisability, transferability and future of the phenomenon of industrial districts is discussed."
"http://cadmus.eui.eu/handle/1814/5298","Arena parlamentare e regolazione politica in Italia : Il caso della politica pensionistica - L'impatto dei conflitti redistributivi sul processo di produzione legislativa (1948-1983)","1987","MAESTRI, G. Ezio","Pensions -- Government policy -- Italy",NA
"http://cadmus.eui.eu/handle/1814/34582","Armed social movements and insurgency : the PKK and its communities of support","2014","O'CONNOR, Francis Patrick","Partiya Karker&ecirc;n Kurdistan&ecirc;; Kurds -- Turkey -- History -- Autonomy and independence movements; Kurds -- Turkey -- Politics and government; Political violence -- Turkey","The supportive environments which sustain armed groups are arguably an understudied aspect of political violence; it is widely acknowledged that all armed groups necessitate a degree of popular support if they are to be successful but the relationship between armed movements and their supporters is often underdeveloped or considered self-explanatory. This project puts forth the argument that the relationship between armed groups and their supporters is of fundamental importance to how and where armed groups mobilise and the repertoire of contention they adopt. Making use of Malthaner's concept of ""constituency"" (2011a), the PKK's armed struggle from its foundation in the 1970s until 1999 will be analysed. The particular manner in which the PKK actively constructed and maintained extensive support networks across contrasting socio-spatial contexts ensured its ongoing legitimacy and the material resources necessary for its survival. Although a noted power disparity exists between armed and unarmed actors, the relationship between them is always characterised by degrees of reciprocal influence; influence that is often expressed in a variety of subtle and contextually specific fashions. The project will therefore examine the dialectic between the PKK and its communities of support and how this has evolved over time and space from rural Kurdistan to the urban centres of western Turkey, and consider how it has impacted on the nature of violence deployed by the PKK in the course of its insurgency."
"http://cadmus.eui.eu/handle/1814/33551","""Au nom du p&egrave;re"" : une sociologie comparative du militantisme paternel en France et au Qu&eacute;bec","2014","FILLOD-CHABAUD, Aur&eacute;lie",NA,"Depuis une vingtaine d&rsquo;ann&eacute;es, des groupes de p&egrave;res s&eacute;par&eacute;s m&eacute;diatisent r&eacute;guli&egrave;rement leur m&eacute;contentement, dans plusieurs pays du monde. Souvent arm&eacute;s de banderoles, perch&eacute;s au sommet d&rsquo;un monument, ou en gr&egrave;ve de la faim, ces p&egrave;res disent avoir &eacute;t&eacute; flou&eacute;s par la justice familiale au sujet de la garde de leurs enfants. Ce ph&eacute;nom&egrave;ne est &agrave; mettre en lien avec la massification des s&eacute;parations conjugales depuis les ann&eacute;es 1970, massification qui s&rsquo;inscrit dans un processus de mutation plus globale de la sph&egrave;re familiale. La pr&eacute;sente &eacute;tude se propose de produire une analyse sociologique des mobilisations paternelles &agrave; la lumi&egrave;re de la comparaison de deux entit&eacute;s g&eacute;ographiques &agrave; la fois proches et distinctes dans leurs traditions francophones et juridiques : la France et le Qu&eacute;bec. Le terrain d&rsquo;enqu&ecirc;te a &eacute;t&eacute; r&eacute;alis&eacute; dans des groupes de p&egrave;res de chaque pays, mais &eacute;galement aupr&egrave;s d&rsquo;acteurs du mouvement familial, d&rsquo;institutions en charge de la justice et de la famille ainsi que de personnalit&eacute;s politiques. La d&eacute;marche comparative, adopt&eacute;e de mani&egrave;re lin&eacute;aire tout au long de la th&egrave;se, nous permet tour &agrave; tour de questionner la nature des int&eacute;r&ecirc;ts d&eacute;fendus par ces p&egrave;res, la mani&egrave;re dont leurs revendications sont publicis&eacute;es et dont elles p&eacute;n&egrave;trent ou non l&rsquo;ar&egrave;ne politique, le recrutement social des groupes et les trajectoires des adh&eacute;rents et militants, les effets de la socialisation militante au droit sur les p&egrave;res membres des groupes et enfin les red&eacute;finitions de la paternit&eacute; et du rapport &agrave; la filiation engendr&eacute;es par la dissolution de la cellule familiale. Cette th&egrave;se s&rsquo;attache finalement &agrave; questionner les enjeux que soul&egrave;vent les nouvelles configurations familiales au lendemain de la s&eacute;paration du couple parental aupr&egrave;s d&rsquo;une cat&eacute;gorie de p&egrave;res sp&eacute;cifique au sein de la population des p&egrave;res s&eacute;par&eacute;s."
"http://cadmus.eui.eu/handle/1814/5128","Au-del&agrave; des trait&eacute;s communautaires? : l'europ&eacute;anisation des politiques sanitaires et sociales des drogues : diffusion et apprentissage autour de la notion de  r&eacute;duction des risques  en France, en Italie et aux Pays-Bas","2004","GRANGE, Aline","Medical policy -- Europe; Narcotics, Control of -- Netherlands; Narcotics, Control of -- Europe; Narcotics, Control of -- France; Narcotics, Control of -- Italy",NA
"http://cadmus.eui.eu/handle/1814/13554","Autonomia individuale ed ordine democratico: una critica dell'antropologia liberale","1994","SANTORO, Emilio","Liberty; Autonomy (Psychology); Liberalism; Individuality",NA
"http://cadmus.eui.eu/handle/1814/35441","Becoming recognizable : postcolonial independence and the reification of religion","2015","BIRNBAUM, Maria",NA,"The thesis argues that international scholarship has failed to take into account the manner in which the process of recognition presupposes and reproduces already recognizable objects and agents. The example used in the thesis is that extant studies on the recognition of religion in international affairs assume that religion is always already present and intelligible as a category of political thought and action. It continues to demonstrate how this tendency is inherent in the theory and practices of recognition more broadly. In forgoing study of the processes through which these agents and objects were differentiated and individuated in the first place, recognition cannot but contribute to their reification. Moving beyond this impasse in IR Theory, the thesis argues, requires a more finely attuned genealogical sensitivity when it comes to the question how entities of international politics become recognizable. This suggests that scholars dwell on the processes through which they are constituted and made intelligible, i.e. recognizable. This insight is illustrated with reference to how &ldquo;religion&rdquo; became internationally recognizable as a differentiable and politically relevant category in and through two distinct yet related historical processes: the partition of South Asia with the establishment of Pakistan and the foundation of the state of Israel in the wake of the demise of the British Empire. Both states were claimed, enacted and subsequently recognized along the lines of religious difference; Muslim/non-&shy;-Muslim in the case of Pakistan and Jew/non-&shy;-Jew in the case of Israel. By studying macro and micro processes through which religion became a differentiated, taken-&shy;-for-&shy;-granted juridical, cultural and political category the thesis shows the processes through which religion became recognizable and how this particular recognizable version of religion was reified through the international recognition thereof, that is, the recognition of these two states as a Muslim Homeland and a Jewish National Home. The thesis thus argues against the assumption that religion, in and of itself is a root cause in the establishment of these two states, a source of violence in the ongoing conflicts with their neighbors, or an instrument of peace. Rather it argues that religion was made recognizable and reified in a particular shape and meaning through the processes of the international recognition of the two post-&shy;-colonial states. Rather than looking to recognize the importance of religion in international affairs, the thesis investigates the multiple manners in which religion emerged as a politically salient point of reference according to which a changing international order took shape and along the lines of which new international agency was and is claimed and recognized."
"http://cadmus.eui.eu/handle/1814/18403","Being Moral: Moral competence and the limits of reasonable doubt","2011","HERMANN, Julia",NA,"In this thesis, I argue that we should conceive of morality as a set of overlapping practices and of moral knowledge first and foremost as the competence to participate in these practices. On the basis of a Wittgensteinian understanding of language and meaning, I defend two interrelated claims: the claim that some propositions are beyond reasonable doubt in moral practices and the claim that understanding moral principles amounts to the mastery of those practices. My reflections on a number of propositions which it seems impossible to doubt from a moral standpoint lead me to the view that for a morally competent agent, some propositions are removed from doubt. In conceiving of justification as a response to doubt based on reasons, I follow Wittgenstein and those contemporary philosophers who defend what are called &lsquo;contextualist&rsquo; approaches. Given the close relationship between justification and doubt, the claim that some propositions are beyond reasonable doubt in moral practices implies that certain philosophical demands for justification make no sense. Like contextualists, I oppose both foundationalist and coherentist accounts of moral justification and moral knowledge. Unlike them, I argue that moral knowledge ultimately amounts to knowledge how. This practical knowledge involves cognitive as well as emotional capacities, which are developed through training. On the basis of my account of moral competence, I am able to reject the view that morality can be justified from an extra-moral standpoint. The &lsquo;why be moral question&rsquo; turns out to be one of those purely philosophical questions which lack a role in practice. Despite denying the availability of any practice-independent standards of moral truth and critique, my account allows for moral criticism and moral progress."
"http://cadmus.eui.eu/handle/1814/7033","Being to the world : an inquiry into philosophical implications of Hannah Arendt's political thought","2007","NEDIMOVIC, Svjetlana","Arendt, Hannah, 1906-1975 -- Philosophy; Arendt, Hannah, 1906-1975 -- Contributions in political science","The project inquires into Hannah Arendt's thinking of the political in order to develop from it a possible new thread towards a different philosophy beyond metaphysical legacy. Arendt's notion of human existence as always necessary doing to the world rather than just being is read here from her understanding of man as beginning. It is argued that, as such, it uncovers the existentialist dimension of Arendt's work, by and large neglected in Arendtian literature, while also influencing Arendt's understanding of the political as working freedom out of necessity and taking up of existence. This ultimately constitutes the unexplored contribution by Arendt to contemporary ontology: If ontology if to overcome and move beyond its metaphysical roots, it must ask political questions as the fundamental philosophical questions since it concerns the being that is always necessarily (in) doing. This reading of Arendt's project is founded upon the parallels of her thought with Heidegger's work that proceeds in the same philosophical direction. In order to understand and develop the implications of Arendt's thinking of the political in that direction, the project engages with Arendt's work on the source of action, which is interpreted here as a conceptual effort to overcome the metaphysical dualism of world. Arendt's theory of mind is analysed in relation to two fundamental principles of action, plurality and freedom, in order to argue that none of the three mind faculties - thinking, willing, judging - can generate action. The theory is then expanded through reference to the fragments on imagination in Arendt's writing, elaborated and developed in dialogue with Heidegger's and Castoriadis' work on the concept of imagination. Developing the concept of originary imagination as the source of action from these intuitions in Arendt's thought, the project uncovers the ontological fundament of opposition of Arendt's work to Heidegger's philosophy and establishes the ground to assert that Arendt's work offers an opening to post-metaphysical philosophy. While Heidegger's project is arrested by the notion of Dasein as being-in-the-world, unable to transcend givenness of existence and finally affirming it, Arendt puts forth the notion of human existence as primarily being to the world, always bringing about the new and resisting the givenness. This notion of human existence suggests that the fundamental questions of ontology ought to be political questions, the questions of doing rather than being."
"http://cadmus.eui.eu/handle/1814/5437","The Belgian legislator","1992","DE WINTER, Lieven","Belgium -- Politics and government; Political parties -- Belgium",NA
